Start,End
"By piercing holy light, your darkness dissolves.",The power of Christ compels you!
Your plague shall be repelled by the word of God.,"In the name of the Son, Relinquish your hold!"
The martyr's blood seals your vile work.,Leave and return no more!
The hand of god grabs your unholy stem and uproots your power.,Cower and flee!
Let the Jordan stream wash away this hellish stain.,"I adjure you, Leave this place!"
Divine justice commands your infection to end.,"In the name of the Son, Return to your prison!"
The sword of the spirit slashes your bonds.,Leave this place!
May holy light burn your demonic shadows.,Be gone!
"Where my pure spirit stands, your claims burn.",Away with you!
"With Heaven's hammer, I banish your corruption.","By the blood of the covenant, Relinquish your hold!"
I invoke the sword of the spirit to scour your hollow soul.,"In the name of the Trinity, Cower and flee!"
Your grip weakens with every holy word.,"With the voice of the divine, Go back to the abyss!"
"Demon, your wicked presense is not welcome and shall not stay.","In the name of the Creator, Go back to the abyss!"
"Through holy wisdom, your curse fades and so do you.","By the sacred seal, Return to your prison!"
The martyr's blood mends your corruption.,"In the name of the Spirit, Relinquish your claim!"
"Through the breath of life, your influence dissolves.",Depart now!
My words are a sword of justice that scatter your legacy of pain.,"In the name of the Creator, Be broken!"
"Through purity, your reign of terror is banished.","In the name of the Spirit, Recoil!"
This lion of Judah devours your evil.,"In the presence of the saints, Yield to the light!"
I weaken thy mark with sacred scripture.,"By the seal of the Living God, dissolve!"
My Godly weapon pierces your chaos.,"In the Name above all Names, perish!"
Your claim to all is undone leaving not even a memory.,"By the decree of the heavens, Leave and return no more!"
I banish your evil soul back to the infernal void from whence it crawled.,Be purged!
"Through The shadow of the cross, your hollow soul is stripped away.","With the authority of Zion, I evict you!"
Descend into the blasphemous fire from which you emerged.,"Under the weight of Glory, bow and break!"
The keys of the holy kingdom lock your dominion.,I command you. Return to the fire!
Crawl back to the hell-born darkness that birthed your malice.,"With the voice of the divine, Relinquish your hold!"
Return to the abyssal pit that spawned your demonic existence.,Leave and return no more!
Be cast down into the diabolical shadows of your origin.,Give way to the Rising Dawn!
Your demonic arrogance is a candle before the hurricane of Divine Wrath.,Fade into the silence of Peace!
"Tremble as the light of the world exposes your wretched, naked soul.",Return to the nothingness that knows not God!
The scent of your demonic rot has called down the vengeance of the skies.,"Sink into the void, for you have no floor to stand on!"
Heavenly lightning strikes the heart of your unholy infestation.,The Song of the Morning Star blinds you. Flee!
I drag your unholy essence back to the sulfurous pits of your damnation.,The Breath of the Almighty blows you into the void!
"Return to the infernal shadows, for this dwelling is now a furnace of Holy Light.","Where the Light shines, you are nothing, Vanish!"
I sear your demonic tongue with the burning coals of the Altar.,The Gates of the Pit are open for you. Return!
"Celestial fire incinerates the very air you breathe, you wretched parasite.",The Light of Christ is your executioner. Be gone!
Unyielding faith destroys your web of sin.,This ground is Holy. You cannot tread here. Flee!
"By the Sword of Saint Michael, I cleave your demonic essence in two.",The peace of the Father ejects you. Be gone!
Return to the Abyssal Fire that has hungered for your rot since the dawn of time.,"By the Living Water, be flushed into the abyss!"
I invoke the Righteous Fire to incinerate your empty threats.,
I drop the Weight of Glory upon your back until your unholy spine is shattered.,
"Your demonic name is a smudge on the glass of eternity, and I am the cloth that wipes it clean.",
"Kneel, you wretched worm of the pit, for the word of God is here.",
The Lion of Judah roars within this vessel.,
I scour you with purity until the void itself forgets you.,
The Holy Spirit pours forth its grace to sanctify all that you have defiled.,
May the light of the Spirit mend the souls you sought to break.,
I call upon Divine Peace to settle where your chaos once reigned.,
"By the grace of the Father, this ground is made holy once again.",
The love of the Creator is a fire that consumes your hate without effort.,
"In the brilliance of the Spirit, your darkness is revealed as a fading mist.",
Unfailing light destroys your demonic bonds.,
"The light of the Father shines through the cracks you made, turning scars into gold.",
"Where you brought the dark, let the Holy Spirit now paint the dawn.",
Let the rain of Mercy fall to cleanse the ground where your feet have tread.,
The Holy Spirit restores the beauty you sought to tarnish with your touch.,
"Where you planted thorns, the Spirit now brings the bloom of Eternal Grace.",
